"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"SUSD4",2,0,0,1,1,1
"CCDC185",0,1,1,0,0,3
"SKI",10,22,13,11,12,15
"CCDC185",0,0,0,0,1,0
"CAPN8",5,4,2,1,1,0
"CAPN2",99,92,80,64,86,63
"CAPN2",10,12,10,10,15,7
"CAPN2",4,6,6,4,7,3
"CAPN2",262,261,225,167,175,177
"TP53BP2",31,21,27,31,36,31
"TP53BP2",0,0,1,1,0,1
"FBXO28",76,71,79,59,64,43
"DEGS1",135,119,137,79,108,84
"NVL",1,0,1,1,0,1
"CNIH4",53,43,51,33,43,35
"WDR26",46,40,50,65,51,49
"CNIH3",8,4,2,5,5,5
"CNIH3",16,9,5,15,12,18
"DNAH14",15,8,8,11,5,9
"LBR",14,21,13,22,15,11
"LBR",71,52,47,46,69,59
"LBR",0,1,0,0,0,1
"ENAH",13,4,7,5,5,1
"ENAH",1,0,1,2,2,1
"ENAH",10,2,4,9,11,5
"SRP9",3,4,0,3,0,1
"SRP9",0,3,4,0,1,1
"SRP9",2,2,3,0,3,5
"SRP9",1,1,4,2,1,0
"SRP9",1,5,3,1,1,4
"EPHX1",7,4,6,2,5,4
"PYCR2",97,106,94,75,91,77
"SDE2",2,0,1,2,0,0
"H3F3A",1,1,0,2,0,0
"LINC01703",5,2,5,0,2,0
